institute_code,institute_name,university,status_type
04142,"G H Raisoni College of Engineering & Management, Nagpur",Maharashtra State,Approved Institute
04143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Maharashtra State,Approved Institute
04144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Maharashtra State,Approved Institute
04145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Maharashtra State,Approved Institute
04147,"K.D.K. College of Engineering, Nagpur",Maharashtra State,Approved Institute
04151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Maharashtra State,Approved Institute
04152,"Shri Shivaji Education Society Amravati's Science College (MCA), Nagpur",Maharashtra State,Approved Institute
04153,"Sarvodaya Shikshan Mandal's Sardar Patel Mahavidayalaya, Dept. of Computer Studies & Research, Chandrapur",Maharashtra State,Approved Institute
04157,"V. M. Vasant Commerce, J.M. Thakar Arts & J.J. Patel Science College,Nagpur",Maharashtra State,Approved Institute
04163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Maharashtra State,Approved Institute
04167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",Maharashtra State,Approved Institute
04172,"Anjuman College of Engineering & Technology, Nagpur",Maharashtra State,Approved Institute
04174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",Maharashtra State,Approved Institute
04175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Maharashtra State,Approved Institute
04177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",Maharashtra State,Approved Institute
04181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",Maharashtra State,Approved Institute
04188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Maharashtra State,Approved Institute
04190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Maharashtra State,Approved Institute
04192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",Maharashtra State,Approved Institute
04193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",Maharashtra State,Approved Institute
04196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Maharashtra State,Approved Institute
04197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Maharashtra State,Approved Institute
04285,"V M Institute of Engineering and Technology, Dongargaon, Nagpur",Maharashtra State,Approved Institute
04302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",Maharashtra State,Approved Institute
04304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",Maharashtra State,Approved Institute
04613,"Suryodaya College of Engineering & Technology, Nagpur",Maharashtra State,Approved Institute
04648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",Maharashtra State,Approved Institute
04649,"Bajaj Institute of Technology, Wardha",Maharashtra State,Approved Institute
04679,"Karanjekar College of Engineering & Management, Sakoli",Maharashtra State,Approved Institute
04701,"Dr.S.C. Gulhane Prerna College of Management and Technology, Nagpur",Maharashtra State,Approved Institute
04703,"Somayya Institute of Technology, Chandrapur",Maharashtra State,Approved Institute
05002,"Department of Computer Science, North Maharashtra University, Jalgaon",Maharashtra State,Approved Institute
05003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",Maharashtra State,Approved Institute
05004,"Government College of Engineering, Jalgaon",Maharashtra State,Approved Institute
05101,"Khandesh College Education Society's Institute of Management & Research, Jalgaon",Maharashtra State,Approved Institute
05102,"Godavari Institute of Management & Research, Jalgaon",Maharashtra State,Approved Institute
05103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",Maharashtra State,Approved Institute
05104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",Maharashtra State,Approved Institute
05106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",Maharashtra State,Approved Institute
05108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Maharashtra State,Approved Institute
05109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Maharashtra State,Approved Institute
05111,"B. P. Hivale Education Society's Institute of Management Studies Career Development Research, Ahmednagar",Maharashtra State,Approved Institute
05112,"Padmashree Dr. Vithalrao Vikhe Patil Foundation's Institute of Business Management & Rural Development, Ahmednagar",Maharashtra State,Approved Institute
05113,"Nashik District Maratha Vidya Prasarak Samaj's Institute of Management Research & Technology, Nashik",Maharashtra State,Approved Institute
05117,Pirens Institute Of Business Management And Administration (IBMA) Loni (BK),Maharashtra State,Approved Institute
05119,"C.H.M.E. Society's Dr. Moonje Institute for Management & Computer Studies, Nashik",Maharashtra State,Approved Institute
05120,"MET's Institute of Management, Adgaon, Nashik",Maharashtra State,Approved Institute
05121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Maharashtra State,Approved Institute
05124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Maharashtra State,Approved Institute
05125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Maharashtra State,Approved Institute
05130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Maharashtra State,Approved Institute
05131,"C.H.M.E. Society's Dr. Moonje Institute of Management & Information Technology, Nashik",Maharashtra State,Approved Institute
05139,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",Maharashtra State,Approved Institute
05150,"R.C. Patel Educational Trust, Institute of Management Reasearch & Development, Shirpur",Maharashtra State,Approved Institute
05151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Maharashtra State,Approved Institute
05152,"G H Raisoni College of Engineering and Management, Jalgaon",Maharashtra State,Approved Institute
05153,"West Khandesh Bhagini Seva Mandal's Dr. Suryakanta R. Ajmera M.C.A. College for Women, Dhule",Maharashtra State,Approved Institute
05160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Maharashtra State,Approved Institute
